ticker,asset_class,sector_gics,etf_proxy,source,note
AIMC,stock,Industrials,XLI,llm,
AIMD,stock,Information Technology,XLK,yfinance,
AIN,stock,Consumer Discretionary,XLY,yfinance,
AINV,stock,Financials,XLF,llm,
AIO,stock,Financials,XLF,yfinance,
AIQUY,stock,Materials,XLB,yfinance,
AIR,stock,Industrials,XLI,yfinance,
AIRE,stock,Real Estate,XLRE,yfinance,
AIRM,stock,Health Care,XLV,llm,
AIT,stock,Industrials,XLI,yfinance,
AIV,stock,Real Estate,XLRE,yfinance,
AIVAF,stock,Financials,XLF,yfinance,
AIZ,stock,Financials,XLF,yfinance,
AJG,stock,Financials,XLF,yfinance,
AJINF,stock,Consumer Staples,XLP,yfinance,
AJINY,stock,Consumer Staples,XLP,llm,
AJRD,stock,Industrials,XLI,llm,
AKAM,stock,Information Technology,XLK,yfinance,
AKCPF,stock,Financials,XLF,llm,
AKIC,stock,Financials,XLF,llm,
AKR,stock,Real Estate,XLRE,yfinance,
AKRO,stock,Health Care,XLV,llm,
AKRX,stock,Health Care,XLV,llm,
AKZOY,stock,Materials,XLB,yfinance,
AL,stock,Industrials,XLI,llm,
ALAB,stock,Information Technology,XLK,yfinance,
ALB,stock,Materials,XLB,yfinance,
ALBK,stock,Financials,XLF,llm,
ALC,stock,Health Care,XLV,yfinance,
ALCO,stock,Consumer Staples,XLP,yfinance,
ALE,stock,Utilities,XLU,llm,
ALEX,stock,Real Estate,XLRE,llm,
ALFVY,stock,Industrials,XLI,yfinance,
ALG,stock,Industrials,XLI,yfinance,
ALGM,stock,Information Technology,XLK,yfinance,
ALGN,stock,Health Care,XLV,yfinance,
ALGT,stock,Industrials,XLI,yfinance,
ALH,stock,Consumer Discretionary,XLY,yfinance,
ALIZY,stock,Financials,XLF,yfinance,
ALK,stock,Industrials,XLI,yfinance,
ALKT,stock,Information Technology,XLK,yfinance,
ALL,stock,Financials,XLF,yfinance,
ALLE,stock,Industrials,XLI,yfinance,
ALLG,stock,Industrials,XLI,llm,
ALLK,stock,Health Care,XLV,llm,
ALLY,stock,Financials,XLF,yfinance,
ALLY-A,stock,Financials,XLF,llm,
ALNY,stock,Health Care,XLV,yfinance,
ALOG,stock,Information Technology,XLK,llm,
ALOT,stock,Information Technology,XLK,yfinance,
ALPMY,stock,Health Care,XLV,yfinance,
ALPP,stock,Industrials,XLI,yfinance,
ALR,stock,Health Care,XLV,llm,
ALRM,stock,Information Technology,XLK,yfinance,
ALRS,stock,Financials,XLF,yfinance,
ALTE,stock,Utilities,XLU,llm,
ALTM,stock,Energy,XLE,llm,
ALTR,stock,Information Technology,XLK,llm,
ALV,stock,Consumer Discretionary,XLY,yfinance,
ALVO,stock,Health Care,XLV,yfinance,
ALXN,stock,Health Care,XLV,llm,
ALYAF,stock,Information Technology,XLK,yfinance,
ALYF,unknown,,,none,
AM,stock,Energy,XLE,yfinance,
AMADY,stock,Information Technology,XLK,yfinance,
AMAG,stock,Health Care,XLV,llm,
AMAT,stock,Information Technology,XLK,yfinance,
AMBA,stock,Information Technology,XLK,yfinance,
AMBP,stock,Consumer Discretionary,XLY,yfinance,
AMBR,stock,Information Technology,XLK,yfinance,
AMC,stock,Communication Services,XLC,yfinance,
AMCR,stock,Consumer Discretionary,XLY,yfinance,
AMCRY,stock,Communication Services,XLC,llm,
AMCX,stock,Communication Services,XLC,yfinance,
AMD,stock,Information Technology,XLK,yfinance,
AMDA,stock,Health Care,XLV,llm,
AME,stock,Industrials,XLI,yfinance,
AMED,stock,Health Care,XLV,llm,
AMEH,stock,Health Care,XLV,llm,
AMG,stock,Financials,XLF,yfinance,
AMGN,stock,Health Care,XLV,yfinance,
AMGP,stock,Energy,XLE,llm,
AMH,stock,Real Estate,XLRE,yfinance,
AMI,stock,Energy,XLE,llm,
AMJ,stock,Energy,XLE,llm,
AMKBY,stock,Industrials,XLI,yfinance,
AMKR,stock,Information Technology,XLK,yfinance,
AMLP,stock,Energy,XLE,llm,
AMLX,stock,Health Care,XLV,yfinance,
AMN,stock,Health Care,XLV,yfinance,
AMP,stock,Financials,XLF,yfinance,
AMRC,stock,Industrials,XLI,yfinance,
AMRI,stock,Health Care,XLV,llm,
AMRX,stock,Health Care,XLV,yfinance,
AMRZ,stock,Materials,XLB,yfinance,
AMSF,stock,Financials,XLF,yfinance,
AMSG,stock,Health Care,XLV,llm,
AMSYF,stock,Materials,XLB,yfinance,
AMT,stock,Real Estate,XLRE,yfinance,
AMTD,stock,Financials,XLF,yfinance,
AMTM,stock,Industrials,XLI,yfinance,
AMTX,stock,Materials,XLB,yfinance,
AMWD,stock,Consumer Discretionary,XLY,yfinance,
AMX,stock,Communication Services,XLC,yfinance,
AMZA,stock,Energy,XLE,llm,
AMZN,stock,Consumer Discretionary,XLY,yfinance,
AN,stock,Consumer Discretionary,XLY,yfinance,
ANBC,stock,Financials,XLF,llm,
ANCTF,stock,Consumer Discretionary,XLY,yfinance,
ANCX,stock,Financials,XLF,llm,
ANDE,stock,Consumer Staples,XLP,yfinance,
ANDV,stock,Energy,XLE,llm,
ANDX,stock,Energy,XLE,llm,
ANET,stock,Information Technology,XLK,yfinance,
ANF,stock,Consumer Discretionary,XLY,yfinance,
ANGO,stock,Health Care,XLV,yfinance,
ANIK,stock,Health Care,XLV,yfinance,
ANR,stock,Energy,XLE,llm,
ANRO,stock,Health Care,XLV,yfinance,
ANSS,stock,Information Technology,XLK,llm,
ANTE,stock,Information Technology,XLK,llm,
ANTM,stock,Health Care,XLV,llm,
ANY,stock,Financials,XLF,yfinance,
ANYYY,stock,Industrials,XLI,yfinance,
ANZBY,stock,Financials,XLF,llm,
ANZGY,stock,Financials,XLF,yfinance,
AOBC,stock,Consumer Discretionary,XLY,llm,
AOL,stock,Communication Services,XLC,llm,
AON,stock,Financials,XLF,yfinance,
AONC,stock,Health Care,XLV,yfinance,
AONE,etf_broad,,AONE,audit,ETF diversifié/obligataire/commodities — pas de secteur GICS
AONNY,stock,Consumer Discretionary,XLY,yfinance,
AORT,stock,Health Care,XLV,yfinance,
AOS,stock,Industrials,XLI,yfinance,
AOSL,stock,Information Technology,XLK,yfinance,
AOZOF,stock,Financials,XLF,yfinance,
AOZOY,stock,Financials,XLF,yfinance,
APA,stock,Energy,XLE,yfinance,
APAGF,unknown,,,none,
APAM,stock,Financials,XLF,yfinance,
APC,stock,Energy,XLE,yfinance,
APCX,stock,Information Technology,XLK,yfinance,
APD,stock,Materials,XLB,yfinance,
APEN,stock,Health Care,XLV,llm,
APG,stock,Industrials,XLI,yfinance,
APH,stock,Information Technology,XLK,yfinance,
APHA,stock,Health Care,XLV,llm,
APL,stock,Energy,XLE,llm,
APLE,stock,Real Estate,XLRE,yfinance,
APLT,stock,Health Care,XLV,llm,
APNHY,stock,Health Care,XLV,yfinance,
APO,stock,Financials,XLF,yfinance,
APOL,stock,Consumer Discretionary,XLY,llm,
APOS,stock,Information Technology,XLK,llm,
APP,stock,Communication Services,XLC,yfinance,
APPAD,unknown,,,none,
APPF,stock,Information Technology,XLK,yfinance,
APPL,unknown,,,none,
APPS,stock,Information Technology,XLK,yfinance,
APPY,stock,Health Care,XLV,llm,
APT,stock,Industrials,XLI,yfinance,
APTS,stock,Real Estate,XLRE,llm,
APTV,stock,Consumer Discretionary,XLY,yfinance,
APU,stock,Energy,XLE,llm,
APVO,stock,Health Care,XLV,yfinance,
APWC,stock,Industrials,XLI,yfinance,
APXI,unknown,,,none,
APY,unknown,,,none,
AQB,stock,Consumer Staples,XLP,yfinance,
AQFH,unknown,,,none,
AQN,stock,Utilities,XLU,yfinance,
AQUA,stock,Industrials,XLI,llm,
AR,stock,Energy,XLE,yfinance,
ARAV,stock,Health Care,XLV,llm,
ARCB,stock,Industrials,XLI,yfinance,
ARCC,stock,Financials,XLF,yfinance,
ARCH,stock,Energy,XLE,llm,
ARCI,stock,Financials,XLF,yfinance,
ARCO,stock,Consumer Discretionary,XLY,yfinance,
ARCP,stock,Real Estate,XLRE,llm,
ARE,stock,Real Estate,XLRE,yfinance,
ARES,stock,Financials,XLF,yfinance,
AREX,stock,Energy,XLE,llm,
ARG,stock,Industrials,XLI,llm,
ARGO,stock,Financials,XLF,llm,
ARGX,stock,Health Care,XLV,yfinance,
ARI,stock,Real Estate,XLRE,yfinance,
ARINA,unknown,,,none,
ARIS,stock,Materials,XLB,yfinance,
ARKAY,stock,Materials,XLB,yfinance,
ARKG,etf_broad,,ARKG,audit,ETF diversifié/obligataire/commodities — pas de secteur GICS
ARKK,etf_broad,,ARKK,audit,ETF diversifié/obligataire/commodities — pas de secteur GICS
ARKVX,unknown,,,none,
ARLP,stock,Energy,XLE,yfinance,
ARM,stock,Information Technology,XLK,yfinance,
ARMH,stock,Information Technology,XLK,llm,
ARMK,stock,Industrials,XLI,yfinance,
ARNA,stock,Health Care,XLV,llm,
ARNC,stock,Materials,XLB,llm,
AROC,stock,Energy,XLE,yfinance,
AROW,stock,Financials,XLF,yfinance,
ARP,stock,Energy,XLE,llm,
ARQT,stock,Health Care,XLV,yfinance,
ARR,stock,Real Estate,XLRE,yfinance,
ARRS,stock,Information Technology,XLK,llm,
ARRY,stock,Information Technology,XLK,yfinance,
ARVLF,stock,Consumer Discretionary,XLY,yfinance,
ARW,stock,Information Technology,XLK,yfinance,
ARWR,stock,Health Care,XLV,yfinance,
ASAL,unknown,,,none,
ASAZY,stock,Industrials,XLI,yfinance,
ASB,stock,Financials,XLF,yfinance,
ASBA,unknown,,,none,
ASBC,unknown,,,none,
ASBFY,stock,Consumer Staples,XLP,yfinance,
ASBRF,stock,Consumer Staples,XLP,yfinance,
ASC,stock,Industrials,XLI,yfinance,
ASCMA,stock,Consumer Discretionary,XLY,llm,
ASFI,stock,Financials,XLF,llm,
ASGN,stock,Industrials,XLI,llm,
ASH,stock,Materials,XLB,yfinance,
ASHGY,stock,Consumer Staples,XLP,llm,
ASHR,etf_broad,,ASHR,audit,ETF diversifié/obligataire/commodities — pas de secteur GICS
ASHS,unknown,,,none,
ASHTY,stock,Consumer Staples,XLP,llm,
ASIX,stock,Materials,XLB,yfinance,
ASMB,stock,Health Care,XLV,yfinance,
ASML,stock,Information Technology,XLK,yfinance,
ASMVY,stock,Information Technology,XLK,yfinance,
ASND,stock,Health Care,XLV,yfinance,
ASNS,stock,Information Technology,XLK,yfinance,
ASO,stock,Consumer Discretionary,XLY,yfinance,
ASOMY,stock,Consumer Discretionary,XLY,yfinance,
ASPN,stock,Industrials,XLI,yfinance,
ASR,stock,Industrials,XLI,yfinance,
ASTH,stock,Health Care,XLV,yfinance,
ASTM,stock,Health Care,XLV,llm,
ASVI,unknown,,,none,
ASW,stock,Information Technology,XLK,llm,
ASX,stock,Information Technology,XLK,yfinance,
ASXC,stock,Health Care,XLV,llm,
ASXFY,stock,Financials,XLF,yfinance,
ATASY,stock,Information Technology,XLK,llm,
ATAZF,stock,Information Technology,XLK,yfinance,
ATER,stock,Consumer Discretionary,XLY,yfinance,
ATEST,unknown,,,none,
ATEYY,stock,Information Technology,XLK,yfinance,
ATGL,stock,Information Technology,XLK,yfinance,
ATH,stock,Financials,XLF,llm,
ATHA,stock,Health Care,XLV,llm,
ATHL,stock,Consumer Discretionary,XLY,llm,
ATHM,stock,Communication Services,XLC,yfinance,
ATHN,stock,Health Care,XLV,llm,
ATI,stock,Industrials,XLI,yfinance,
ATKR,stock,Industrials,XLI,yfinance,
ATLKY,stock,Industrials,XLI,yfinance,
ATMI,stock,Information Technology,XLK,llm,
ATML,stock,Information Technology,XLK,llm,
ATMP,unknown,,,none,
ATNF,stock,Health Care,XLV,llm,
ATO,stock,Utilities,XLU,yfinance,
ATOAX,unknown,,,none,
ATOS,stock,Health Care,XLV,yfinance,
ATR,stock,Health Care,XLV,yfinance,
ATRC,stock,Health Care,XLV,yfinance,
ATRN,stock,Industrials,XLI,llm,
ATRO,stock,Industrials,XLI,yfinance,
ATS,stock,Industrials,XLI,yfinance,
ATU,stock,Industrials,XLI,llm,
ATUS,stock,Communication Services,XLC,llm,
ATVI,stock,Communication Services,XLC,llm,
ATW,stock,Energy,XLE,llm,
ATX,stock,Information Technology,XLK,llm,
AUMA,unknown,,,none,
AUROW,unknown,,,none,
AUT,unknown,,,none,
AUY,stock,Materials,XLB,llm,
AVA,stock,Utilities,XLU,yfinance,
AVAV,stock,Industrials,XLI,yfinance,
AVB,stock,Real Estate,XLRE,yfinance,
AVG,stock,Information Technology,XLK,llm,
AVGO,stock,Information Technology,XLK,yfinance,
AVLR,stock,Information Technology,XLK,llm,
AVNS,stock,Health Care,XLV,yfinance,
AVNT,stock,Materials,XLB,yfinance,
AVP,stock,Consumer Staples,XLP,llm,
AVT,stock,Information Technology,XLK,yfinance,
AVTR,stock,Health Care,XLV,yfinance,
AVVIY,stock,Financials,XLF,yfinance,
AVXL,stock,Health Care,XLV,yfinance,
AVY,stock,Consumer Discretionary,XLY,yfinance,
AVYA,stock,Information Technology,XLK,llm,
AWI,stock,Industrials,XLI,yfinance,
AWK,stock,Utilities,XLU,yfinance,
AWRE,stock,Information Technology,XLK,yfinance,
AX,stock,Financials,XLF,yfinance,
AXAC,stock,Financials,XLF,yfinance,
AXAHY,stock,Financials,XLF,yfinance,
AXE,stock,Industrials,XLI,llm,
AXGN,stock,Health Care,XLV,yfinance,
AXHE,unknown,,,none,
AXL,stock,Consumer Discretionary,XLY,llm,
AXLL,stock,Materials,XLB,llm,
AXNT,unknown,,,none,
AXON,stock,Industrials,XLI,yfinance,
AXP,stock,Financials,XLF,yfinance,
AXR,stock,Real Estate,XLRE,yfinance,
AXS,stock,Financials,XLF,yfinance,
AXSM,stock,Health Care,XLV,yfinance,
AXTA,stock,Materials,XLB,yfinance,
AXTE,unknown,,,none,
AY,stock,Utilities,XLU,llm,
AYI,stock,Industrials,XLI,yfinance,
AYR,stock,Industrials,XLI,llm,
AYRO,stock,Consumer Discretionary,XLY,llm,
AYX,stock,Information Technology,XLK,llm,
AZEK,stock,Industrials,XLI,llm,
AZN,stock,Health Care,XLV,yfinance,
AZNCF,stock,Health Care,XLV,llm,
AZO,stock,Consumer Discretionary,XLY,yfinance,
AZPN,stock,Information Technology,XLK,llm,
AZSEY,stock,Industrials,XLI,llm,
AZTA,stock,Health Care,XLV,yfinance,
B,stock,Materials,XLB,yfinance,
BA,stock,Industrials,XLI,yfinance,
BABA,stock,Consumer Discretionary,XLY,yfinance,
BABAF,stock,Consumer Discretionary,XLY,yfinance,
BABY,stock,Health Care,XLV,llm,
BAC,stock,Financials,XLF,yfinance,
BAESY,stock,Industrials,XLI,yfinance,
BAF,unknown,,,none,
BAGIX,unknown,,,none,
BAH,stock,Industrials,XLI,yfinance,
BALL,stock,Consumer Discretionary,XLY,yfinance,
BALY,stock,Consumer Discretionary,XLY,yfinance,
BAM,stock,Financials,XLF,yfinance,
BAMH,unknown,,,none,
BAMXF,stock,Consumer Discretionary,XLY,yfinance,
BAMXY,stock,Financials,XLF,llm,
BAND,stock,Information Technology,XLK,yfinance,
BAP,stock,Financials,XLF,yfinance,
BARIX,unknown,,,none,
BASFY,stock,Materials,XLB,yfinance,
BATRA,stock,Communication Services,XLC,yfinance,
BATRK,stock,Communication Services,XLC,yfinance,
BAX,stock,Health Care,XLV,yfinance,
BAYRY,stock,Health Care,XLV,yfinance,
BAYZF,stock,Health Care,XLV,yfinance,
BBAI,stock,Information Technology,XLK,yfinance,
BBAVY,stock,Consumer Staples,XLP,llm,
BBBY,stock,Consumer Discretionary,XLY,llm,
BBCN,stock,Financials,XLF,llm,
BBDC,stock,Financials,XLF,yfinance,
BBEP,stock,Energy,XLE,llm,
BBEU,stock,Financials,XLF,llm,
BBH,stock,Health Care,XLV,llm,
BBIO,stock,Health Care,XLV,yfinance,
BBL,stock,Materials,XLB,llm,
BBN,stock,Financials,XLF,yfinance,
BBRY,stock,Information Technology,XLK,llm,
BBSEY,stock,Financials,XLF,yfinance,
BBT,stock,Financials,XLF,yfinance,
BBU,stock,Industrials,XLI,llm,
BBVA,stock,Financials,XLF,yfinance,
BBWI,stock,Consumer Discretionary,XLY,yfinance,
BBY,stock,Consumer Discretionary,XLY,yfinance,
BC,stock,Consumer Discretionary,XLY,yfinance,
BCC,stock,Materials,XLB,yfinance,
BCE,stock,Communication Services,XLC,yfinance,
BCEI,stock,Energy,XLE,llm,
BCEL,stock,Health Care,XLV,llm,
BCLYF,stock,Financials,XLF,yfinance,
BCML,stock,Financials,XLF,yfinance,
BCO,stock,Industrials,XLI,yfinance,
BCOM,unknown,,,none,
BCOR,stock,Information Technology,XLK,llm,
BCPC,stock,Materials,XLB,yfinance,
BCR,stock,Health Care,XLV,llm,
BCRX,stock,Health Care,XLV,yfinance,
BCS,stock,Financials,XLF,yfinance,
BDC,stock,Information Technology,XLK,yfinance,
BDN,stock,Real Estate,XLRE,yfinance,
BDNNY,stock,Materials,XLB,yfinance,
BDORY,stock,Financials,XLF,yfinance,
BDRFF,stock,Consumer Staples,XLP,yfinance,
BDRFY,stock,Consumer Staples,XLP,yfinance,
BDT,unknown,,,none,
BDVSY,stock,Industrials,XLI,yfinance,
BDX,stock,Health Care,XLV,yfinance,
BE,stock,Industrials,XLI,yfinance,
BEAS,stock,Information Technology,XLK,llm,
BEAV,stock,Industrials,XLI,llm,
BECN,stock,Industrials,XLI,llm,
BEEM,stock,Information Technology,XLK,yfinance,
BEEP,stock,Industrials,XLI,yfinance,
BEKE,stock,Real Estate,XLRE,yfinance,
BEL,stock,Communication Services,XLC,llm,
BELFB,stock,Information Technology,XLK,yfinance,
BEN,stock,Financials,XLF,yfinance,
BEP,stock,Utilities,XLU,yfinance,
BEPC,stock,Utilities,XLU,yfinance,
BERY,stock,Materials,XLB,llm,
BETE,unknown,,,none,
BETR,stock,Financials,XLF,yfinance,
BEXIX,unknown,,,none,
BF-A,stock,Consumer Staples,XLP,yfinance,
BF-B,stock,Consumer Staples,XLP,yfinance,
BFAM,stock,Consumer Discretionary,XLY,yfinance,
BFET,unknown,,,none,
BFK,stock,Financials,XLF,llm,
BFS,stock,Real Estate,XLRE,yfinance,
BG,stock,Consumer Staples,XLP,yfinance,
BGC,stock,Financials,XLF,yfinance,
BGCP,stock,Financials,XLF,llm,
BGEN,stock,Health Care,XLV,llm,
BGFV,stock,Consumer Discretionary,XLY,llm,
BGG,stock,Industrials,XLI,llm,
BGNE,stock,Health Care,XLV,llm,
BGS,stock,Consumer Staples,XLP,yfinance,
BGSF,stock,Industrials,XLI,yfinance,
BH,stock,Consumer Discretionary,XLY,yfinance,
BHC,stock,Health Care,XLV,yfinance,
BHF,stock,Financials,XLF,yfinance,
BHGE,stock,Energy,XLE,llm,
BHI,stock,Energy,XLE,llm,
BHKLY,stock,Financials,XLF,yfinance,
BHLB,stock,Financials,XLF,llm,
BHP,stock,Materials,XLB,yfinance,
BHR,stock,Real Estate,XLRE,yfinance,
BIAC,stock,Health Care,XLV,llm,
BIDU,stock,Communication Services,XLC,yfinance,
BIF,stock,Financials,XLF,llm,
BIG,stock,Consumer Discretionary,XLY,llm,
BIIB,stock,Health Care,XLV,yfinance,
BILL,stock,Information Technology,XLK,yfinance,
BIN,stock,Industrials,XLI,llm,
BIO,stock,Health Care,XLV,yfinance,
BIOA,stock,Health Care,XLV,yfinance,
BIP,stock,Utilities,XLU,yfinance,
BIPC,stock,Utilities,XLU,yfinance,
BIRT,stock,Information Technology,XLK,llm,
BITA,stock,Consumer Discretionary,XLY,llm,
BITB,etf_broad,,BITB,audit,ETF diversifié/obligataire/commodities — pas de secteur GICS
BITF,stock,Information Technology,XLK,llm,
BIV,etf_broad,,BIV,audit,ETF diversifié/obligataire/commodities — pas de secteur GICS
BIVV,stock,Health Care,XLV,llm,
BJ,stock,Consumer Staples,XLP,yfinance,
BK,stock,Financials,XLF,yfinance,
BKCC,stock,Financials,XLF,llm,
BKD,stock,Health Care,XLV,yfinance,
BKDT,stock,Real Estate,XLRE,llm,
BKE,stock,Consumer Discretionary,XLY,yfinance,
BKEP,stock,Energy,XLE,llm,
BKEPP,stock,Energy,XLE,llm,
BKH,stock,Utilities,XLU,yfinance,
BKI,stock,Information Technology,XLK,llm,
BKJAY,stock,Financials,XLF,llm,
BKNG,stock,Consumer Discretionary,XLY,yfinance,
BKR,stock,Energy,XLE,yfinance,
BKU,stock,Financials,XLF,yfinance,
BL,stock,Information Technology,XLK,yfinance,
BLBD,stock,Industrials,XLI,yfinance,
BLD,stock,Industrials,XLI,yfinance,
BLDP,stock,Industrials,XLI,yfinance,
BLDR,stock,Industrials,XLI,yfinance,
BLFS,stock,Health Care,XLV,yfinance,
BLFSD,unknown,,,none,
BLK,stock,Financials,XLF,yfinance,
BLKB,stock,Information Technology,XLK,yfinance,
BLL,stock,Materials,XLB,llm,
BLMN,stock,Consumer Discretionary,XLY,yfinance,
BLNK,stock,Industrials,XLI,yfinance,
BLT,stock,Energy,XLE,llm,
BLUE,stock,Health Care,XLV,llm,
BLX,stock,Financials,XLF,yfinance,
BMBLY,stock,Consumer Staples,XLP,llm,
BMEZ,stock,Financials,XLF,yfinance,
BMI,stock,Information Technology,XLK,yfinance,
BMN,stock,Financials,XLF,yfinance,
BMNR,stock,Financials,XLF,yfinance,
BMO,stock,Financials,XLF,yfinance,
BMR,stock,Information Technology,XLK,yfinance,
BMRN,stock,Health Care,XLV,yfinance,
BMRRY,stock,Consumer Staples,XLP,yfinance,
BMY,stock,Health Care,XLV,yfinance,
BN,stock,Financials,XLF,yfinance,
BNEFF,stock,Energy,XLE,yfinance,
BNNY,stock,Consumer Staples,XLP,llm,
BNP,stock,Financials,XLF,llm,
BNPQF,stock,Financials,XLF,yfinance,
BNPQY,stock,Financials,XLF,yfinance,
BNRE,stock,Financials,XLF,llm,
BNS,stock,Financials,XLF,yfinance,
BNTGY,stock,Materials,XLB,yfinance,
BNTX,stock,Health Care,XLV,yfinance,
BNZI,stock,Information Technology,XLK,yfinance,
BOH,stock,Financials,XLF,yfinance,
