bioguide,name,n_tk_nous,n_tk_quiver,inter,nous_seul,quiver_seul,quiver_seul_list
E000296,Dwight Evans,12,22,12,0,10,"ADRE,CLNS$A,GOOG,HACK,HASI,HPE,MGU,NGLS$A,NOK,TDG"
W000797,Debbie Wasserman Schultz,9,12,9,0,3,"CLMS,CMTL,WSTL"
H001051,Richard L. Hanna,15,20,15,0,5,"ETN,IBB,PRGO,RHHBY,SNY"
C001105,Barbara J Honorable Comstock,10,26,10,0,16,"CIU,EMB,F,FOX,HPE,HPQ,KHC,MDLZ,NWS,SIRI,TIP,VB,VDE,VEA,VNQ,VTV"
H000636,Rubén Hinojosa,11,12,11,0,1,GOOG
G000563,Bob Gibbs,13,14,13,0,1,CQP
D000399,Lloyd Doggett,4,6,4,0,2,"IBM,WFM"
P000523,David E. Price,11,13,11,0,2,"DVN,SPLS"
R000589,E. Scott Rigell,10,11,10,0,1,XLF
S001148,Michael K. Simpson,8,11,8,0,3,"FEI,FXD,SRF"
B000574,Earl Blumenauer,1,1,1,0,0,
C001111,Charlie Joseph Crist,9,11,9,0,2,"NVG,SUN"
B001286,Cheri Bustos,9,10,9,0,1,TEVA
D000598,Susan A. Davis,9,9,9,0,0,
R000599,Raul Ruiz,10,10,10,0,0,
B001274,Mo Brooks,3,11,3,0,8,"BDX,ORCL,PG,TCX,UNP,VZ,WFC,XOM"
C001068,Steve Cohen,2,1,1,1,0,
J000294,Hakeem S. Jeffries,0,5,0,0,5,"GOVT,IUSG,IUSV,LQD,VEA"
P000593,Ed Perlmutter,7,7,7,0,0,
T000463,Michael R. Turner,1,1,1,0,0,
W000804,Robert J. Wittman,4,4,4,0,0,
C001078,Gerald E. Connolly,1,1,1,0,0,
P000197,Nancy Pelosi,3,3,3,0,0,
S000185,"Robert C. ""Bobby"" Scott",1,1,1,0,0,
D000628,Neal P. Dunn,2,1,1,1,0,
S000480,Louise McIntosh Slaughter,1,1,1,0,0,
S001156,Linda T. Sanchez,4,4,4,0,0,
C001066,Kathy Castor,3,11,3,0,8,"AA,AAPL,BA,CAT,DIS,GE,INTC,PFE"
K000378,Adam Kinzinger,2,2,2,0,0,
K000387,Steve Knight,2,2,2,0,0,
S001199,Lloyd K. Smucker,2,3,2,0,1,CNI
C000754,Jim Cooper,0,1,0,0,1,HBHC
F000030,Sam Farr,2,2,2,0,0,
G000577,Garret Graves,2,2,2,0,0,
H001047,James A. Himes,2,2,2,0,0,
M001182,Mick Mulvaney,2,2,2,0,0,
S001175,Jackie Speier,2,2,2,0,0,
Y000063,Kevin Yoder,2,3,2,0,1,PAA
B001269,Lou Barletta,1,1,1,0,0,
B001294,Rodney Leland Blum,1,1,1,0,0,
G000535,Luis V. Gutierrez,1,1,1,0,0,
G000559,John Garamendi,1,1,1,0,0,
L000559,James R. Langevin,1,2,1,0,1,ALXN
L000562,Stephen F. Lynch,1,1,1,0,0,
R000598,Keith J. Rothfus,1,1,1,0,0,
V000131,Marc A. Veasey,1,1,1,0,0,
