representative_name,stock_name,buy_sell_flag,purchase_date,notification_date,invested_amount,min_amount,max_amount,transaction_year,ticker
AllenRichard W.,2000068093 SP Alphabet Inc. - Class A (GOOGL), P ,2020-02-28,03/20/2020," $15,001 - \$50000",15001.0,50000.0,2020.0,
AllenRichard W.,Alphabet Inc. - Class A (GOOGL),P,2019-12-27,01/05/2020,"\$15,001 -\$50,000",15001.0,50000.0,2019.0,
AllenRichard W.,"Amazon.com, Inc. (AMZN) [ST]", P ,2019-09-10,10/05/2019," $15,001 - \$50000",15001.0,50000.0,2019.0,
AllenRichard W.,"American Water Works Company,",P,2019-09-10,10/05/2019,"\$15,001 -\$50,000",15001.0,50000.0,2019.0,AWK
AllenRichard W.,Amgen Inc. (AMGN) [ST], P ,2019-08-29,09/05/2019," $15,001 - \$50000",15001.0,50000.0,2019.0,
AllenRichard W.,Amgen Inc. (AMGN) [ST],P,2019-09-27,10/05/2019,"\$15,001 -\$50,000",15001.0,50000.0,2019.0,
AllenRichard W.,Amgen Inc. (AMGN) [ST], P ,2022-08-18,09/05/2022," $15,001 - \$50000",15001.0,50000.0,2022.0,
AllenRichard W.,Bayer AG Ordinary Shares,S,2018-06-07,07/05/2018,"\$1,001 -\$15,000",1001.0,15000.0,2018.0,
AllenRichard W.,BB&T Corporation (BBT) [ST], S  (partial),2018-04-27,05/05/2018," $15,001 - \$50000",15001.0,50000.0,2018.0,
AllenRichard W.,BB&T Corporation (BBT) [ST],S (partial),2019-06-19,07/05/2019,"\$15,001 -\$50,000",15001.0,50000.0,2019.0,
AllenRichard W.,BB&T Corporation (BBT) [ST], S ,2017-03-23,04/05/2017," $1,001 - \$15000",1001.0,15000.0,2017.0,
AllenRichard W.,BB&T Corporation (BBT) [ST],S (partial),2017-03-23,04/05/2017,"\$15,001 -\$50,000",15001.0,50000.0,2017.0,
AllenRichard W.,"BlackRock, Inc. (BLK) [ST]", P ,2019-09-24,10/05/2019," $15,001 - \$50000",15001.0,50000.0,2019.0,
AllenRichard W.,CAE Inc. Ordinary Shares (CAE),S,2019-10-31,11/05/2019,"\$1,001 -\$15,000",1001.0,15000.0,2019.0,
AllenRichard W.,CAE Inc. Ordinary Shares (CAE), P ,2019-04-09,05/05/2019," $1,001 - \$15000",1001.0,15000.0,2019.0,
AllenRichard W.,Carnival Corporation (CCL) [ST],S,2019-04-11,05/05/2019,"\$1,001 -\$15,000",1001.0,15000.0,2019.0,
AllenRichard W.,Carnival Corporation (CCL) [ST], P ,2018-01-29,02/05/2018," $1,001 - \$15000",1001.0,15000.0,2018.0,
AllenRichard W.,Chubb Limited (CB) [ST],P,2022-08-18,09/05/2022,"\$15,001 -\$50,000",15001.0,50000.0,2022.0,
AllenRichard W.,2000069530 SP Chubb Limited (CB) [ST], P ,2020-07-02,07/06/2020," $15,001 - \$50000",15001.0,50000.0,2020.0,
AllenRichard W.,Chubb Limited (CB) [ST],P,2020-11-16,12/05/2020,"\$15,001 -\$50,000",15001.0,50000.0,2020.0,
AllenRichard W.,"Church & Dwight Company, Inc.", P ,2021-01-25,02/05/2021," $15,001 - \$50000",15001.0,50000.0,2021.0,
AllenRichard W.,Costco Wholesale Corporation, P ,2019-09-10,10/05/2019," $15,001 - \$50000",15001.0,50000.0,2019.0,
AllenRichard W.,Costco Wholesale Corporation,P,2017-04-27,06/05/2017,"\$15,001 -\$50,000",15001.0,50000.0,2017.0,
AllenRichard W.,2000076732 SP Deere & Company (DE) [ST], P ,2021-02-10,02/15/2021," $15,001 - \$50000",15001.0,50000.0,2021.0,
AllenRichard W.,"2000074180 SP Dominion Energy, Inc. (D) [ST]", S ,2020-12-15,12/18/2020," $15,001 - \$",15001.0,50000.0,2020.0,
AllenRichard W.,"Dominion Energy, Inc. (D) [ST]",S,2020-12-15,01/05/2021,"\$15,001 -\$50,000",15001.0,50000.0,2020.0,
AllenRichard W.,Dover Corporation (DOV) [ST], P ,2020-06-15,07/05/2020," $15,001 - \$50000",15001.0,50000.0,2020.0,
AllenRichard W.,Dover Corporation (DOV) [ST],P,2019-05-15,06/05/2019,"\$15,001 -\$50,000",15001.0,50000.0,2019.0,
AllenRichard W.,Dover Corporation (DOV) [ST], S ,2018-04-11,05/05/2018," $15,001 - \$50000",15001.0,50000.0,2018.0,
AllenRichard W.,Dover Corporation (DOV) [ST],S,2020-05-14,06/05/2020,"\$15,001 -\$50,000",15001.0,50000.0,2020.0,
AllenRichard W.,Dover Corporation (DOV) [ST], P ,2019-09-17,10/05/2019," $15,001 - \$50000",15001.0,50000.0,2019.0,
AllenRichard W.,Dover Corporation (DOV) [ST], S ,2020-05-14,06/05/2020," $15,001 - \$50000",15001.0,50000.0,2020.0,
AllenRichard W.,Exxon Mobil Corporation (XOM), S ,2017-04-27,05/05/2017," $1,001 - \$15000",1001.0,15000.0,2017.0,
AllenRichard W.,FedEx Corporation (FDX) [ST],P,2017-05-16,06/05/2017,"\$1,001 -\$15,000",1001.0,15000.0,2017.0,
AllenRichard W.,FedEx Corporation (FDX) [ST], S ,2019-04-09,05/05/2019," $1,001 - \$15000",1001.0,15000.0,2019.0,
AllenRichard W.,"2000086462 SP Freeport-McMoRan, Inc. (FCX)", S ,2021-10-04,10/06/2021," $1,001 - \$15000",1001.0,15000.0,2021.0,
AllenRichard W.,"Freeport-McMoRan, Inc. (FCX)", S ,2021-10-07,11/05/2021," $15,001 - \$50000",15001.0,50000.0,2021.0,
AllenRichard W.,GENERAL ELECTRIC 5.55% DUE,S,2017-11-02,12/05/2017,"\$1,001 -\$15,000",1001.0,15000.0,2017.0,
AllenRichard W.,General Electric Company (GE), S ,2017-05-16,06/05/2017," $1,001 - \$15000",1001.0,15000.0,2017.0,
AllenRichard W.,"Home Depot, Inc. (HD) [ST]",P,2020-05-14,06/05/2020,"\$1,001 -\$15,000",1001.0,15000.0,2020.0,HD
AllenRichard W.,"2000086357 SP Home Depot, Inc. (HD) [ST]", P ,2020-05-14,05/20/2020," $15,001 - \$50000",15001.0,50000.0,2020.0,
AllenRichard W.,Intuit Inc. (INTU) [ST],P,2020-02-28,03/05/2020,"\$15,001 -\$50,000",15001.0,50000.0,2020.0,
AllenRichard W.,Intuit Inc. (INTU) [ST], P ,2019-08-29,09/05/2019," $50,001 - \$100000",50001.0,100000.0,2019.0,
AllenRichard W.,Intuit Inc. (INTU) [ST],S,2019-10-17,11/05/2019,"\$50,001 -\$100,000",50001.0,100000.0,2019.0,
AllenRichard W.,Johnson & Johnson (JNJ) [ST], P ,2019-10-02,11/05/2019," $1,001 - \$15000",1001.0,15000.0,2019.0,
AllenRichard W.,Kimberly-Clark Corporation, S ,2021-01-25,02/05/2021," $15,001 - \$50000",15001.0,50000.0,2021.0,
AllenRichard W.,Kimberly-Clark Corporation,S,2021-01-25,02/05/2021,"\$1,001 -\$15,000",1001.0,15000.0,2021.0,
AllenRichard W.,Kimberly-Clark Corporation, P ,2019-09-10,10/05/2019," $15,001 - \$50000",15001.0,50000.0,2019.0,
AllenRichard W.,Kimberly-Clark Corporation,P,2019-06-07,07/05/2019,"\$1,001 -\$15,000",1001.0,15000.0,2019.0,
AllenRichard W.,Marriott International - Class A, P ,2019-08-22,09/05/2019," $15,001 - \$50000",15001.0,50000.0,2019.0,MAR
AllenRichard W.,Marriott International - Class A,S,2019-10-17,11/05/2019,"\$15,001 -\$50,000",15001.0,50000.0,2019.0,MAR
AllenRichard W.,Marriott International - Class A, P ,2020-05-14,06/05/2020," $15,001 - \$50000",15001.0,50000.0,2020.0,MAR
AllenRichard W.,"2000077844 SP Merck & Company, Inc. Common", S ,2021-03-10,03/15/2021," $15,001 - \$50000",15001.0,50000.0,2021.0,
AllenRichard W.,"Merck & Company, Inc. Common",S,2017-11-30,01/05/2018,"\$1,001 -\$15,000",1001.0,15000.0,2017.0,MRK
AllenRichard W.,Microsoft Corporation (MSFT), P ,2019-08-27,09/05/2019," $15,001 - \$50000",15001.0,50000.0,2019.0,
AllenRichard W.,MONSANTO [OT],P,2017-02-03,03/05/2017,"\$1,001 -\$15,000",1001.0,15000.0,2017.0,
AllenRichard W.,"NextEra Energy, Inc. (NEE) [ST]", P ,2020-04-17,05/05/2020," $15,001 - \$50000",15001.0,50000.0,2020.0,
AllenRichard W.,"2000070841 SP NextEra Energy, Inc. (NEE) [ST]", P ,2020-09-25,10/02/2020," $15,001 - \$50000",15001.0,50000.0,2020.0,
AllenRichard W.,"Paychex, Inc. (PAYX) [ST]",S,2020-04-15,05/05/2020,"\$15,001 -\$50,000",15001.0,50000.0,2020.0,
AllenRichard W.,"Paychex, Inc. (PAYX) [ST]", P ,2019-08-27,09/05/2019," $15,001 - \$50000",15001.0,50000.0,2019.0,
AllenRichard W.,"Paychex, Inc. (PAYX) [ST]",P,2018-05-23,06/05/2018,"\$1,001 -\$15,000",1001.0,15000.0,2018.0,
AllenRichard W.,"2000076739 SP PayPal Holdings, Inc. (PYPL) [ST]", P ,2021-02-10,02/15/2021," $1,001 - \$15000",1001.0,15000.0,2021.0,
AllenRichard W.,"PayPal Holdings, Inc. (PYPL) [ST]",S,2021-10-22,11/05/2021,"\$1,001 -\$15,000",1001.0,15000.0,2021.0,
AllenRichard W.,"2000086463 SP PayPal Holdings, Inc. (PYPL) [ST]", S ,2021-10-22,10/26/2021," $15,001 - \$50000",15001.0,50000.0,2021.0,
AllenRichard W.,"PayPal Holdings, Inc. (PYPL) [ST]",P,2021-01-25,02/05/2021,"\$15,001 -\$50,000",15001.0,50000.0,2021.0,
AllenRichard W.,"PayPal Holdings, Inc. (PYPL) [ST]", P ,2021-07-15,08/05/2021," $15,001 - \$50000",15001.0,50000.0,2021.0,
AllenRichard W.,"Pfizer, Inc. (PFE) [ST]",P,2021-07-15,08/05/2021,"\$15,001 -\$50,000",15001.0,50000.0,2021.0,
AllenRichard W.,"Pfizer, Inc. (PFE) [ST]", S ,2023-03-14,04/05/2023," $15,001 - \$50000",15001.0,50000.0,2023.0,
AllenRichard W.,Phillips 66 (PSX) [ST],P,2020-02-21,03/05/2020,"\$15,001 -\$50,000",15001.0,50000.0,2020.0,
AllenRichard W.,Phillips 66 (PSX) [ST], S ,2020-04-15,05/05/2020," $15,001 - \$50000",15001.0,50000.0,2020.0,
AllenRichard W.,Procter & Gamble Company (PG),P,2020-04-17,05/05/2020,"\$15,001 -\$50,000",15001.0,50000.0,2020.0,PG
AllenRichard W.,Procter & Gamble Company (PG), S ,2018-01-29,02/05/2018," $1,001 - \$15000",1001.0,15000.0,2018.0,PG
AllenRichard W.,Realty Income Corporation (O), S ,2017-02-13,03/05/2017," $15,001 - \$50000",15001.0,50000.0,2017.0,
AllenRichard W.,Royal Dutch Shell PLC Royal, P ,2019-08-29,09/05/2019," $50,001 - \$100000",50001.0,100000.0,2019.0,
AllenRichard W.,Sherwin-Williams Company,P,2019-09-10,10/05/2019,"\$50,001 -\$100,000",50001.0,100000.0,2019.0,
AllenRichard W.,2000068092 SP South State Corporation (SSB), S  (partial),2020-02-21,03/20/2020," $50,001 - \$100000",50001.0,100000.0,2020.0,
AllenRichard W.,2000076731 SP South State Corporation (SSB), S  (partial),2021-02-18,02/22/2021," $15,001 - \$50000",15001.0,50000.0,2021.0,
AllenRichard W.,SouthState Corporation (SSB) [ST], S  (partial),2021-01-13,02/05/2021," $50,001 - \$100000",50001.0,100000.0,2021.0,
AllenRichard W.,SouthState Corporation (SSB) [ST],S (partial),2021-06-09,07/05/2021,"\$15,001 -\$50,000",15001.0,50000.0,2021.0,
AllenRichard W.,SouthState Corporation (SSB) [ST], S  (partial),2021-09-28,10/05/2021," $100,001 - \$250000",100001.0,250000.0,2021.0,
AllenRichard W.,SouthState Corporation (SSB) [ST],S (partial),2023-01-13,02/05/2022,"\$50,001 -\$100,000",50001.0,100000.0,2023.0,
AllenRichard W.,SouthState Corporation (SSB) [ST], S  (partial),2023-03-09,04/05/2023," $50,001 - \$100000",50001.0,100000.0,2023.0,
AllenRichard W.,SouthState Corporation (SSB) [ST],S (partial),2022-01-18,02/05/2022,"\$50,001 -\$100,000",50001.0,100000.0,2022.0,
AllenRichard W.,SouthState Corporation (SSB) [ST], S  (partial),2022-02-09,03/05/2022," $50,001 - \$100000",50001.0,100000.0,2022.0,
AllenRichard W.,SouthState Corporation (SSB) [ST],S (partial),2022-02-16,03/05/2022,"\$50,001 -\$100,000",50001.0,100000.0,2022.0,
AllenRichard W.,SouthState Corporation (SSB) [ST], S  (partial),2022-04-04,05/05/2022," $50,001 - \$100000",50001.0,100000.0,2022.0,
AllenRichard W.,SouthState Corporation (SSB) [ST],S (partial),2022-05-05,06/05/2022,"\$50,001 -\$100,000",50001.0,100000.0,2022.0,
AllenRichard W.,SouthState Corporation (SSB) [ST], S  (partial),2022-01-13,02/05/2022," $50,001 - \$100000",50001.0,100000.0,2022.0,
AllenRichard W.,SouthState Corporation (SSB) [ST],S (partial),2020-03-16,04/05/2020,"\$15,001 -\$50,000",15001.0,50000.0,2020.0,
AllenRichard W.,SouthState Corporation (SSB) [ST], S  (partial),2020-04-15,05/05/2020," $100,001 - \$250000",100001.0,250000.0,2020.0,
AllenRichard W.,SouthState Corporation (SSB) [ST],S (partial),2020-11-16,12/05/2020,"\$15,001 -\$50,000",15001.0,50000.0,2020.0,
AllenRichard W.,SouthState Corporation (SSB) [ST], S  (partial),2019-02-07,03/05/2019," $15,001 - \$50000",15001.0,50000.0,2019.0,
AllenRichard W.,SouthState Corporation (SSB) [ST],S (partial),2019-05-22,06/05/2019,"\$15,001 -\$50,000",15001.0,50000.0,2019.0,
AllenRichard W.,SouthState Corporation (SSB) [ST], S  (partial),2019-09-10,10/05/2019," $15,001 - \$50000",15001.0,50000.0,2019.0,
AllenRichard W.,SouthState Corporation (SSB) [ST],S (partial),2019-09-12,10/05/2019,"\$15,001 -\$50,000",15001.0,50000.0,2019.0,
AllenRichard W.,Starbucks Corporation (SBUX), P ,2020-02-28,03/05/2020," $15,001 - \$50000",15001.0,50000.0,2020.0,
AllenRichard W.,Starbucks Corporation (SBUX),P,2020-11-16,12/05/2020,"\$1,001 -\$15,000",1001.0,15000.0,2020.0,
AllenRichard W.,2000069532 SP Starbucks Corporation (SBUX), S ,2020-07-02,07/06/2020," $1,001 - \$15000",1001.0,15000.0,2020.0,
AllenRichard W.,Starbucks Corporation (SBUX),P,2019-12-27,01/05/2020,"\$1,001 -\$15,000",1001.0,15000.0,2019.0,
AllenRichard W.,2000076737 SP Starbucks Corporation (SBUX), P ,2021-02-26,03/01/2021," $1,001 - \$15000",1001.0,15000.0,2021.0,
AllenRichard W.,TE Connectivity Ltd. New, S ,2018-11-20,12/05/2018," $1,001 - \$15000",1001.0,15000.0,2018.0,
AllenRichard W.,TE Connectivity Ltd. New,P,2017-11-30,01/05/2018,"\$1,001 -\$15,000",1001.0,15000.0,2017.0,
AllenRichard W.,The Cigna Group (CI) [ST], S ,2018-02-07,03/05/2018," $15,001 - \$50000",15001.0,50000.0,2018.0,
AllenRichard W.,Thermo Fisher Scientific Inc,P,2022-03-10,04/05/2022,"\$15,001 -\$50,000",15001.0,50000.0,2022.0,
AllenRichard W.,2000077846 SP Thermo Fisher Scientific Inc, P ,2021-03-10,03/15/2021," $15,001 - \$50000",15001.0,50000.0,2021.0,
AllenRichard W.,Thermo Fisher Scientific Inc,P,2021-01-25,02/05/2021,"\$15,001 -\$50,000",15001.0,50000.0,2021.0,
AllenRichard W.,2000078994 SP Thermo Fisher Scientific Inc, S  (partial),2021-04-12,04/16/2021," $15,001 - \$50000",15001.0,50000.0,2021.0,
AllenRichard W.,United Technologies Corporation, S ,2019-01-25,02/05/2019," $1,001 - \$15000",1001.0,15000.0,2019.0,
AllenRichard W.,US T BILL DUE 02/14/19,P,2018-08-21,09/05/2018,"\$15,001 -\$50,000",15001.0,50000.0,2018.0,
AllenRichard W.,US T BILL DUE 03/26/20, P ,2019-08-30,09/05/2019," $50,001 - \$9127963100000",50001.0,100000.0,2019.0,
AllenRichard W.,US T BILL DUE 08/15/19,P,2019-02-15,03/05/2019,"\$15,001 -\$50,000",15001.0,50000.0,2019.0,
AllenRichard W.,US TREASURY BILL DUE, P ,2022-10-07,11/05/2022," $15,001 - \$10523912796250000",15001.0,50000.0,2022.0,
AllenRichard W.,US TREASURY BILL DUE,P,2022-12-08,01/05/2023,"\$15,001 -\$50,000",15001.0,50000.0,2022.0,
AllenRichard W.,US TREASURY BILL DUE, P ,2022-10-07,11/05/2022," $100,001 - \$12222291279687250000",100001.0,250000.0,2022.0,
AllenRichard W.,US TREASURY BILL DUE,P,2022-09-19,10/05/2022,"\$100,001 -\$250,000",100001.0,250000.0,2022.0,
AllenRichard W.,US TREASURY BILL DUE, P ,2022-10-07,11/05/2022," $15,001 - \$323239127963150000",15001.0,50000.0,2022.0,
AllenRichard W.,US TREASURY BILL DUE 7/13/23,P,2022-08-19,09/05/2022,"\$15,001 -\$50,000",15001.0,50000.0,2022.0,
AllenRichard W.,US TREASURY BILL DUE 7/13/23, P ,2022-08-18,09/05/2022," $100,001 - \$9127967250000",100001.0,250000.0,2022.0,
AllenRichard W.,US TREASURY BILL DUE 9/15/22,P,2022-03-21,04/05/2022,"\$100,001 -\$250,000",100001.0,250000.0,2022.0,
AllenRichard W.,US TREASURY BILL DUE 9/15/22, P ,2022-05-23,06/05/2022," $100,001 - \$91279649250000",100001.0,250000.0,2022.0,
AllenRichard W.,US TREASURY BILL DUE 9/15/22,P,2022-03-25,04/05/2022,"\$15,001 -\$50,000",15001.0,50000.0,2022.0,
AllenRichard W.,US Treasury Bill Due 9/7/23, P ,2022-09-16,10/05/2022," $15,001 - \$912796650000",15001.0,50000.0,2022.0,
AllenRichard W.,US TREASURY BILL20U S T BILL,P,2020-02-03,03/05/2020,"\$15,001 -\$50,000",15001.0,50000.0,2020.0,
AllenRichard W.,US TREASURY BILL24U S T BILL, P ,2023-07-17,08/08/2023," $15,001 - \$07112450000",15001.0,50000.0,2023.0,
AllenRichard W.,US TREASURY NOTE 2.25%,P,2022-05-10,06/05/2022,"\$100,001 -\$250,000",100001.0,250000.0,2022.0,
AllenRichard W.,US Treasury Note 2.25% Due, P ,2022-05-10,06/05/2022," $15,001 - \$3312491282250000",15001.0,50000.0,2022.0,
AllenRichard W.,US TREASURY NOTE 3.25%,P,2022-09-16,10/05/2022,"\$100,001 -\$250,000",100001.0,250000.0,2022.0,
AllenRichard W.,US TREASURY NOTE 4.25%, P ,2022-12-23,01/05/2023," $100,001 - \$0924912826250000",100001.0,250000.0,2022.0,
AllenRichard W.,Verizon Communications Inc. (VZ),S,2021-01-26,02/05/2021,"\$50,001 -\$100,000",50001.0,100000.0,2021.0,
AllenRichard W.,2000076740 SP Verizon Communications Inc. (VZ), S ,2021-02-10,02/15/2021," $1,001 - \$15000",1001.0,15000.0,2021.0,
AllenRichard W.,Verizon Communications Inc. (VZ),P,2019-08-29,09/05/2019,"\$50,001 -\$100,000",50001.0,100000.0,2019.0,
AllenRichard W.,Walmart Inc. (WMT) [ST], P ,2019-08-22,09/05/2019," $15,001 - \$50000",15001.0,50000.0,2019.0,
AllenRichard W.,Walmart Inc. (WMT) [ST],P,2018-06-28,07/05/2018,"\$1,001 -\$15,000",1001.0,15000.0,2018.0,
AllenRichard W.,Walmart Inc. (WMT) [ST], S ,2018-05-23,06/05/2018," $1,001 - \$15000",1001.0,15000.0,2018.0,
AllenRichard W.,Walmart Inc. (WMT) [ST],P,2018-01-25,02/05/2018,"\$1,001 -\$15,000",1001.0,15000.0,2018.0,
AllenRichard W.,Walt Disney Company (DIS) [ST], P ,2019-09-27,10/05/2019," $15,001 - \$50000",15001.0,50000.0,2019.0,DIS
AllenRichard W.,Walt Disney Company (DIS) [ST],S,2020-04-15,05/05/2020,"\$15,001 -\$50,000",15001.0,50000.0,2020.0,DIS
AllenRichard W.,2000089847 SP Walt Disney Company (DIS) [ST], S ,2022-01-25,01/28/2022," $1,001 - \$15000",1001.0,15000.0,2022.0,
AllenRichard W.,Walt Disney Company (DIS) [ST], P ,2021-01-25,02/05/2021," $15,001 - \$50000",15001.0,50000.0,2021.0,DIS
AllenRichard W.,Walt Disney Company (DIS) [ST], S  (partial),2022-02-10,03/05/2022," $15,001 - \$50000",15001.0,50000.0,2022.0,DIS
AllenRichard W.,Walt Disney Company (DIS) [ST],P,2022-03-14,04/05/2022,"\$15,001 -\$50,000",15001.0,50000.0,2022.0,DIS
AllenRichard W.,Walt Disney Company (DIS) [ST], P ,2017-11-30,01/05/2018," $1,001 - \$15000",1001.0,15000.0,2017.0,DIS
AllenRichard W.,"Waste Management, Inc. (WM)",P,2022-01-13,02/05/2022,"\$15,001 -\$50,000",15001.0,50000.0,2022.0,
AllenRichard W.,The Charles Schwab Corporation, P ,2023-08-31,09/05/2023," $15,001 - \$50000140595",15001.0,50000.0,2023.0,
AllenRichard W.,US TREASURY NOTE DUE 12/31/23, P ,2023-09-26,10/05/2023," $15,001 - \$912829500001",15001.0,50000.0,2023.0,
AllenRichard W.,US TREASURY NOTE DUE 3/21/24,P,2023-09-26,10/05/2023,"\$50,001 -\$100,000",50001.0,100000.0,2023.0,
AllenRichard W.,"Activision Blizzard, Inc (ATVI) [ST]", S ,2023-10-13,11/06/2023," $1,001 - \$15000",1001.0,15000.0,2023.0,
AllenRichard W.,"Activision Blizzard, Inc (ATVI) [ST]",S,2023-10-13,11/06/2023,"\$15,001 -\$50,000",15001.0,50000.0,2023.0,
AllenRichard W.,The Charles Schwab Corporation, P ,2023-10-10,11/06/2023," $15,001 - \$50000140595",15001.0,50000.0,2023.0,
AllenRichard W.,US Treasury Bill 912797GD3 [GS],P,2023-10-03,11/06/2023,"\$15,001 -\$50,000",15001.0,50000.0,2023.0,
AllenRichard W.,US Treasury Bill 912797FH5 [GS], P ,2023-11-16,12/06/2023," $15,001 - \$50000",15001.0,50000.0,2023.0,
AllenRichard W.,US Treasury Bill 912797GD3 [GS],P,2023-11-16,12/06/2023,"\$15,001 -\$50,000",15001.0,50000.0,2023.0,
AllenRichard W.,US Treasury Bill 912797LL9 [GS], P ,2023-11-16,12/06/2023," $15,001 - \$50000",15001.0,50000.0,2023.0,
AxneCindy,Jefferies Financial Group Inc. (JEF), S ,2022-12-23,12/22/2022," $1,001 - \$15000",1001.0,15000.0,2022.0,
AxneCindy,Jefferies Financial Group Inc. (JEF),S,2022-12-23,12/22/2022,"\$1,001 -\$15,000",1001.0,15000.0,2022.0,
AxneCindy,Jefferies Financial Group Inc. (JEF), S ,2022-12-23,12/22/2022," $1,001 - \$15000",1001.0,15000.0,2022.0,
BabinBrian,BHP Group Limited American, P ,2022-03-29,03/29/2022," $1,001 - \$15000",1001.0,15000.0,2022.0,BHP
BabinBrian,BHP Group Limited American,P,2022-06-27,06/27/2022,"\$15,001 -\$50,000",15001.0,50000.0,2022.0,BHP
BabinBrian,FTAI Infrastructure Inc. (FIP) [ST], P ,2022-08-02,08/02/2022," $1,001 - \$15000",1001.0,15000.0,2022.0,
BabinBrian,Woodside Energy Group Limited,P,2022-06-02,06/02/2022,"\$1,001 -\$15,000",1001.0,15000.0,2022.0,
BanksJames E Hon,"Peloton Interactive, Inc. (PTON) [ST]", P ,2023-06-09,06/09/2023," $1,001 - \$15000",1001.0,15000.0,2023.0,
BentzCliff,US Treasury NT .0125% Note Due, P ,2023-04-03,04/07/2023," $1,001 - \$1500011524",1001.0,15000.0,2023.0,
BeyerDonald Sternoff,Virginia College Bldg 4.375%, S ,2023-02-01,02/12/2023," $15,001 - \$02013250000",15001.0,50000.0,2023.0,
BeyerDonald Sternoff,Wisconsin St Health & EDL 5.00%, P ,2023-03-16,03/21/2023," $1,001 - \$15000091530",1001.0,15000.0,2023.0,
BeyerDonald Sternoff,New York ST MTG AGY 3.45%, S ,2023-04-18,04/29/2023," $15,001 - \$100133500002022",15001.0,50000.0,2023.0,
BeyerDonald Sternoff,District Columbia Go 5.00%, P ,2023-06-06,06/13/2023," $15,001 - \$0601355000025000500060135",15001.0,50000.0,2023.0,
BeyerDonald Sternoff,Union-Endicott NY Cent 3.75%,S,2023-06-30,07/01/2023,"\$1,001 -\$15,000",1001.0,15000.0,2023.0,
BeyerDonald Sternoff,Virginia College Bldg 4.00%, S ,2023-06-06,06/13/2023," $15,001 - \$02013350000400020133",15001.0,50000.0,2023.0,
BeyerDonald Sternoff,Wisconsin St Health & EDL 5.00%, S ,2023-09-15,09/26/2023," $1,001 - \$15000091530500091530",1001.0,15000.0,2023.0,
BiceStephanie,US TREASURY BILL DUE 6/8/23, P ,2022-12-12,08/03/2023," $15,001 - \$457912796750000",15001.0,50000.0,2022.0,
BishopDan Daniel,United States Treasury Notes [GS], P ,2022-12-12,12/12/2022," $1,000,001 - \$50000002022",1000001.0,5000000.0,2022.0,
BishopDan Daniel,2000099605 JT United States Treasury Notes [GS], P ,2022-12-01,12/01/2022," $100,001 - \$250000",100001.0,250000.0,2022.0,
BishopDan Daniel,2000099604 JT United States Treasury Notes [GS], P ,2022-11-28,11/28/2022," $100,001 - \$250000",100001.0,250000.0,2022.0,
