ticker,in_prices_v2,in_prices_holdings,in_prices
AMCR,1,0,1
AMCX,1,0,1
AMD,1,0,1
AME,1,0,1
AMECX,0,1,0
AMEFX,0,1,0
AMFCX,0,1,0
AMG,1,0,1
AMGN,1,0,1
AMH,1,0,1
AMHIX,0,1,0
AMJ,1,0,1
AMKBY,1,0,1
AMKR,1,0,1
AMLP,1,0,1
AMLX,1,0,1
AMN,1,0,1
AMNF,0,1,0
AMP,1,0,1
AMPCX,0,1,0
AMPFX,0,1,0
AMPH,0,1,0
AMRC,1,0,1
AMRFX,0,1,0
AMRMX,0,1,0
AMRN,0,1,0
AMRX,1,0,1
AMRZ,1,0,1
AMSF,1,0,1
AMSYF,1,0,1
AMT,1,0,1
AMTB,1,0,0
AMTD,1,0,1
AMTM,1,0,1
AMTOX,0,1,0
AMTX,1,0,1
AMUSX,0,1,0
AMWD,1,0,1
AMX,1,0,1
AMZA,1,0,1
AMZN,1,0,1
AMZY,0,1,0
AN,1,0,1
ANAYX,0,1,0
ANBFX,0,1,0
ANCFX,0,1,0
ANCMX,0,1,0
ANCTF,1,0,1
ANCX,0,1,0
ANDE,1,0,1
ANDV,1,0,1
ANEFX,0,1,0
ANET,1,0,1
ANF,1,0,1
ANFCX,0,1,0
ANGIX,0,1,0
ANGL,0,1,0
ANGLX,0,1,0
ANGO,1,0,1
ANIK,1,0,1
ANIP,0,1,0
ANRO,0,0,1
ANVIX,0,1,0
ANWFX,0,1,0
ANWPX,0,1,0
ANY,1,0,1
ANYYY,1,0,1
ANZGY,1,0,1
AOA,0,1,0
AON,1,0,1
AONC,0,0,1
AONNY,1,0,1
AOR,0,1,0
AORT,1,0,1
AOS,1,0,1
AOSL,1,0,1
AOTAX,0,1,0
AOVIX,0,1,0
AOZOF,1,0,1
AOZOY,1,0,1
APA,1,0,1
APAM,1,0,1
APC,1,0,1
APCTX,0,1,0
APCX,0,0,1
APCZX,0,1,0
APD,1,0,1
APDFX,0,1,0
APDGX,1,0,0
APDKX,0,1,0
APDLX,0,1,0
APDSX,0,1,0
APDYX,0,1,0
APEI,0,1,0
APG,1,0,1
APGAX,0,1,0
APGYX,0,1,0
APGZX,0,1,0
APH,1,0,1
APHFX,0,1,0
APHJX,0,1,0
APHKX,0,1,0
APHOX,0,1,0
APHYX,0,1,0
APLE,1,0,1
APNHY,1,0,1
APO,1,0,1
APOG,0,1,0
APOIX,0,1,0
APOS,0,0,1
APP,1,0,1
APPF,1,0,1
APPN,0,1,0
APPS,1,0,1
APT,1,0,1
APTV,1,0,1
APVO,1,0,1
APWC,0,0,1
AQB,1,0,1
AQEAX,0,1,0
AQMIX,0,1,0
AQN,1,0,1
AR,1,0,1
ARAIX,0,1,0
ARBIX,0,1,0
ARBNX,0,1,0
ARBVX,0,1,0
ARCB,1,0,1
ARCC,1,0,1
ARCI,1,0,1
ARCO,1,0,1
ARCT,0,1,0
ARE,1,0,1
ARES,1,0,1
ARGFX,0,1,0
ARGT,0,1,0
ARGX,1,0,1
ARI,1,0,1
ARII,0,1,0
ARIS,1,0,1
ARKAY,1,0,1
ARKF,0,1,0
ARKG,1,0,1
ARKK,1,0,1
ARKQ,0,1,0
ARKVX,0,0,1
ARKX,0,1,0
ARLO,0,1,0
ARLP,1,0,1
ARM,1,0,1
ARMH,1,0,1
ARMK,1,0,1
AROC,1,0,1
AROW,1,0,1
ARP,0,0,1
ARQT,1,0,1
ARR,1,0,1
ARRRX,0,1,0
ARRY,1,0,1
ARSIX,0,1,0
ARSOX,0,1,0
ARSQX,0,1,0
ARTIX,0,1,0
ARTJX,0,1,0
ARTKX,0,1,0
ARTLX,0,1,0
ARTMX,0,1,0
ARTQX,0,1,0
ARTSX,0,1,0
ARTVX,0,1,0
ARVLF,0,0,1
ARW,1,0,1
ARWR,1,0,1
ARYDX,0,1,0
ARYRX,0,1,0
ASAZY,1,0,1
ASB,1,0,1
ASBA,0,0,1
ASBFY,1,0,1
ASBRF,1,0,1
ASC,1,0,1
ASEKY,0,1,0
ASFYX,0,1,0
ASH,0,1,1
ASHG,0,1,0
ASHR,1,0,0
ASHS,1,0,1
ASIX,1,0,1
ASMB,1,0,1
ASML,1,0,1
ASMVY,1,0,1
ASND,1,0,1
ASNS,0,0,1
ASO,1,0,1
ASOMY,1,0,1
ASPN,1,0,1
ASPS,0,1,0
ASR,1,0,1
ASTE,1,0,0
ASTH,1,0,1
ASTS,0,1,0
ASX,1,0,1
ASXFY,1,0,1
ATAI,0,1,0
ATAZF,1,0,1
ATEC,1,0,0
ATER,0,0,1
ATEYX,0,1,0
ATEYY,1,0,1
ATGAX,0,1,0
ATGL,0,0,1
ATHM,1,0,1
ATI,1,0,1
ATKR,1,0,1
ATLKY,1,0,1
ATMI,0,0,1
ATMP,1,0,1
ATNI,1,0,0
ATO,1,0,1
ATOAX,0,0,1
ATOIX,0,1,0
ATOM,0,1,0
ATOS,1,0,1
ATPAX,0,1,0
ATPCX,0,1,0
ATR,1,0,1
ATRC,1,0,1
ATRO,1,0,1
ATS,0,0,1
ATSIX,0,1,0
ATW,0,0,1
AUB,0,1,0
AUENX,0,1,0
AUIAX,0,1,0
AUROW,0,0,1
AUT,0,0,1
AVA,1,0,1
AVAV,1,0,1
AVB,1,0,1
AVD,0,1,0
AVDE,0,1,0
AVDV,1,0,0
AVEM,0,1,0
AVES,0,1,0
AVFIX,0,1,0
AVGO,1,0,1
AVIR,0,1,0
AVLV,0,1,0
AVNS,1,0,1
AVNT,1,0,1
AVRE,0,1,0
AVT,1,0,1
AVTR,1,0,1
AVUDX,0,1,0
AVUS,0,1,0
AVUV,0,1,0
AVVIY,1,0,1
AVXL,1,0,1
AVY,1,0,1
AWAY,1,0,0
AWAYX,0,1,0
AWEIX,0,1,0
AWF,0,1,0
AWI,1,0,1
AWK,1,0,1
AWMIX,0,1,0
AWR,0,1,0
AWRE,0,0,1
AWSCX,0,1,0
AWSHX,0,1,0
AWTIX,0,1,0
AWWIX,0,1,0
AWYIX,0,1,0
AX,0,1,1
AXAC,0,0,1
AXAHY,1,0,1
AXGN,1,0,1
AXON,1,0,1
AXP,1,0,1
AXR,0,0,1
AXS,1,0,1
AXSIX,0,1,0
AXSM,1,0,1
AXTA,1,0,1
AYD,0,1,0
AYI,1,0,1
AZN,1,0,1
AZO,1,0,1
AZTA,1,0,1
AZZ,0,1,0
B,1,0,1
BA,1,0,1
BAB,0,1,0
BABA,1,0,1
BABAF,1,0,1
BAC,1,0,1
BAC-PL,0,1,0
BACRP,0,1,0
BAESY,1,0,1
BAFGX,0,1,0
BAFJX,0,1,0
BAFLX,0,1,0
BAFQX,0,1,0
BAFSX,0,1,0
BAFTX,0,1,0
BAFWX,0,1,0
BAGIX,0,1,1
BAGSX,0,1,0
BAH,1,0,1
BAISX,0,1,0
BALL,1,0,1
BALY,1,0,1
BAM,1,0,1
BAMXF,1,0,1
BANC,0,1,0
BAND,1,0,1
BANF,0,1,0
BAP,1,0,1
BARIX,0,1,1
BASFY,1,0,1
BASIX,0,1,0
BASVX,0,1,0
BAT,0,1,0
BATMF,0,1,0
BATRA,1,0,1
BATRK,1,0,1
BAUUX,0,1,0
BAWAX,0,1,0
BAX,1,0,1
BAYRY,1,0,1
BAYZF,1,0,1
BBAG,0,1,0
BBAI,1,0,1
BBAX,0,1,0
BBBY,1,0,1
BBCA,0,1,0
BBCPX,0,1,0
BBDC,1,0,1
BBEU,1,0,1
BBGLX,0,1,0
BBGSX,0,1,0
BBH,1,0,1
BBHY,0,1,0
BBIEX,0,1,0
BBIN,0,1,0
BBIO,1,0,1
BBJP,0,1,0
BBN,0,0,1
BBNTX,0,1,0
BBSEY,1,0,1
BBT,1,0,1
BBTBX,0,1,0
BBTEX,0,1,0
BBUS,0,1,0
BBVA,1,0,1
BBVLX,0,1,0
BBVSX,0,1,0
BBWI,1,0,1
BBY,1,0,1
BC,1,0,1
BCBC,0,1,0
BCC,1,0,1
BCE,1,0,1
BCI,0,1,0
BCLYF,1,0,1
BCML,0,0,1
BCMSX,0,1,0
BCO,1,0,1
BCOIX,0,1,0
BCOR,1,0,1
BCPC,1,0,1
BCRX,1,0,1
BCS,1,0,1
BCSSX,0,1,0
BCSVX,0,1,0
BCX,1,0,0
BDC,1,0,1
BDJ,0,1,0
BDMIX,0,1,0
BDN,1,0,1
BDNNY,1,0,1
BDOKX,0,1,0
BDORY,1,0,1
BDRFF,1,0,1
BDRFY,1,0,1
BDSX,1,0,0
BDVSY,1,0,1
BDX,1,0,1
BE,1,0,1
BEAM,0,1,0
BEEHX,0,1,0
BEEM,1,0,1
BEEP,1,0,1
BEEX,0,1,0
BEGRX,0,1,0
BEKE,1,0,1
BELFB,1,0,1
BEMB,0,1,0
BEN,1,0,1
BEP,1,0,1
BEPC,1,0,1
BERCX,0,1,0
BERIX,0,1,0
BETR,1,0,1
BETZ,0,1,0
BEXIX,0,1,1
BF-A,1,0,1
BF-B,1,0,1
BFACX,0,1,0
BFAM,1,0,1
BFET,1,0,0
BFFAX,0,1,0
BFGIX,0,1,0
BFH,0,1,0
BFMCX,0,1,0
BFMSX,0,1,0
BFRIX,0,1,0
BFRKX,0,1,0
BFS,1,0,1
BFST,0,1,0
BG,1,0,1
BGC,0,0,1
BGCIX,0,1,0
BGEGX,0,1,0
BGHIX,0,1,0
BGLYX,1,0,0
BGRIX,0,1,0
BGRN,0,1,0
BGS,1,0,1
BGSAX,0,1,0
BGSF,0,0,1
BGSIX,0,1,0
BH,1,0,1
BHC,1,0,1
BHE,0,1,0
BHF,1,0,1
BHKLY,1,0,1
BHP,1,0,1
BHPLF,0,1,0
BHR,1,0,1
BHYAX,0,1,0
BHYCX,0,1,0
BHYIX,0,1,0
BIABX,1,0,0
BIALX,1,0,0
BIBDX,0,1,0
BIBL,0,1,0
BICSX,0,1,0
BIDU,1,0,1
BIGIX,0,1,0
BIGRX,0,1,0
BIIB,1,0,1
BIICX,0,1,0
BIL,0,1,0
BILL,1,0,1
BILPX,0,1,0
BILS,0,1,0
BIMBX,0,1,0
BIMIX,0,1,0
BINC,0,1,0
BINSX,0,1,0
BIO,1,0,1
BIOA,1,0,1
BIP,1,0,1
BIPC,1,0,1
BITA,0,1,0
BITB,1,0,1
BITEX,0,1,0
BITO,0,1,0
BIV,1,0,1
BIVV,1,0,1
BJ,1,0,1
BJBHX,0,1,0
BJRI,0,1,0
BK,1,0,1
BKD,1,0,1
BKDV,0,1,0
BKE,1,0,1
BKH,1,0,1
BKLC,0,1,0
BKLN,1,0,0
BKNG,1,0,1
BKR,1,0,1
BKSY,0,1,0
BKT,0,1,0
BKU,1,0,1
BL,1,0,1
BLBD,1,0,1
BLCN,0,1,0
BLD,0,1,1
BLDAX,0,1,0
BLDP,1,0,1
BLDR,1,0,1
BLES,0,1,0
BLFS,1,0,1
BLK,1,0,1
BLKB,1,0,1
BLMN,1,0,1
BLNK,1,0,1
BLOK,0,1,0
BLV,0,1,0
BLX,1,0,1
BM,0,1,0
BMA,0,1,0
BMBL,0,1,0
BMDIX,0,1,0
BMEZ,1,0,1
BMGAX,1,0,0
BMI,1,0,1
BMN,1,0,1
BMNR,1,0,1
BMO,1,0,1
BMR,1,0,1
BMRN,1,0,1
BMRRY,1,0,1
BMY,1,0,1
BN,0,1,1
BNCDY,1,0,0
BND,0,1,0
BNDX,1,0,0
BNEFF,1,0,1
BNMLX,0,1,0
BNPQF,1,0,1
BNPQY,1,0,1
BNS,1,0,1
BNTGY,1,0,1
BNTX,1,0,1
BNZI,0,0,1
BOAT,0,1,0
BOE,1,0,0
BOGAX,0,1,0
BOH,1,0,1
BOIVF,1,0,1
BOKF,1,0,1
BOND,0,1,0
BOOM,1,0,1
BOOT,1,0,1
BORR,0,1,0
BOSOX,0,1,0
BOTZ,1,0,1
BOX,1,0,1
BP,1,0,1
BPAC,0,0,1
BPAQF,1,0,1
BPIRX,0,1,0
BPOP,0,1,0
BPRAX,0,1,0
BPRIX,0,1,0
BPRN,0,0,1
BPTRX,0,1,0
BR,1,0,1
BRBR,1,0,1
BRBS,0,1,0
BRC,1,0,1
BRCAX,0,1,0
BRCYX,0,1,0
BRDCY,1,0,1
BREIX,0,1,0
BREW,1,0,1
BRF,0,1,0
BRHYX,0,1,0
BRK-A,1,0,1
BRK-B,1,0,1
BRKR,1,0,1
BRLIX,0,1,0
BRMAX,0,1,0
BRMSX,0,1,0
BRO,1,0,1
BROS,1,0,1
BRX,1,0,1
BSBIX,0,1,0
BSCFX,0,1,0
BSCG,0,1,0
BSCP,1,0,0
BSCQ,1,0,1
BSCV,1,0,1
BSET,0,1,0
BSFIX,0,1,0
BSIIX,0,1,0
BSJL,0,1,0
BSJM,0,1,0
BSL,0,1,0
BSM,1,0,1
BSOL,0,1,0
BSPIX,1,0,0
BSTZ,1,0,1
BSV,1,0,1
BSVN,0,0,1
BSX,1,0,1
BSY,1,0,1
BTC,0,1,1
BTCFX,0,1,0
BTCS,0,0,1
BTCT,0,0,1
BTE,1,0,1
BTEC,1,0,1
BTEIX,0,1,0
BTF,1,0,0
BTI,1,0,1
BTLCY,1,0,1
BTMFX,0,1,0
BTMIX,0,1,0
BTMKX,0,1,0
BTO,1,0,1
BTT,0,1,0
BTZ,1,0,1
BUD,1,0,1
BUFD,0,1,0
BUFF,1,0,0
BUFMX,0,1,0
BUFR,0,1,0
BUFSX,0,1,0
BUFZ,0,1,0
BUI,1,0,1
BURBY,1,0,1
BURFX,0,0,1
BURL,1,0,1
BUS,0,1,0
BUSE,1,0,1
BV,1,0,1
BVALX,0,1,0
BVAOX,0,1,0
BVEIX,0,1,0
BVVBY,1,0,1
BW,1,0,1
BWA,1,0,1
BWIN,1,0,1
BWMX,0,0,1
BWX,1,0,1
BWXT,1,0,1
BX,1,0,1
BXBLY,1,0,1
BXMIX,0,1,0
BXMT,1,0,1
BXMYX,0,1,0
BXP,1,0,1
BYD,1,0,1
BYDDF,1,0,1
BYLD,0,1,0
BYND,1,0,1
BZH,0,1,1
BZLFY,1,0,1
C,1,0,1
CA,1,0,1
CAA,1,0,0
CAAFX,0,1,0
CAAP,0,0,1
CAAPX,0,1,0
CAB,1,0,1
CABDX,0,1,0
CABGY,1,0,1
CABO,1,0,1
CAC,1,0,0
CACC,1,0,1
CACG,0,1,0
CACI,1,0,1
CAE,1,0,1
CAFD,1,0,1
CAG,1,0,1
CAH,1,0,1
CAIBX,0,1,0
CAIFX,1,0,0
CAJPY,1,0,1
CAKE,1,0,0
CAL,0,1,0
CALD,1,0,0
CALF,1,0,1
CALM,0,1,0
CALX,0,0,1
CAM,1,0,1
CAMP,1,0,0
CAMSX,0,1,0
CAMWX,0,1,0
CAN,0,0,1
CAOS,0,1,0
CAOVY,1,0,1
CAPL,1,0,1
CAPR,1,0,1
CAR,1,0,1
CARG,1,0,1
CARM,0,0,1
CARR,1,0,1
CARS,1,0,1
CART,1,0,1
CASC,0,1,0
CASH,0,1,1
CASS,1,0,0
CASY,1,0,1
CAT,1,0,1
CATO,1,0,1
CATY,1,0,1
CAUD,0,0,1
CAVM,1,0,0
CB,1,0,1
CBA,1,0,1
CBALX,0,1,0
CBDRX,0,1,0
CBEAX,0,1,0
CBEJX,0,1,0
CBI,1,0,1
CBL,1,0,1
CBLAX,0,1,0
CBOE,1,0,1
CBORX,0,1,0
CBRE,1,0,1
CBRG,0,0,1
CBRL,1,0,1
CBSH,1,0,1
CBSI,1,0,1
CBT,1,0,1
CBTA,0,1,0
CBTAX,0,1,0
CBU,1,0,1
CBYYX,0,1,0
CBZ,1,0,1
CC,1,0,1
CCC,1,0,1
CCE,1,0,1
CCEP,1,0,1
CCG,1,0,0
CCHBF,0,1,0
CCI,1,0,1
CCIZX,0,0,1
CCJ,1,0,1
CCK,1,0,1
CCL,1,0,1
CCLD,1,0,1
CCLFX,0,1,0
CCMSX,1,0,0
CCOEY,1,0,1
CCOI,1,0,1
CCS,1,0,1
CCSGX,0,1,0
CCT,1,0,0
CCWAX,0,1,0
CCWIX,0,1,0
CCXI,1,0,1
CDA,1,0,1
CDDRX,0,1,0
CDDYX,0,1,0
CDE,1,0,1
CDJAX,0,1,0
CDL,0,1,1
CDLX,1,0,1
CDNA,1,0,1
CDNEX,0,1,0
CDNS,1,0,1
CDP,1,0,1
CDRE,1,0,1
CDSIX,0,1,0
CDW,1,0,1
CDXS,1,0,1
CE,1,0,1
CEBOX,0,1,0
CECO,1,0,0
CEF,1,0,1
CEG,1,0,1
CELC,1,0,1
CELFX,0,1,0
CELH,1,0,1
CEMIX,0,1,0
CENAX,0,1,0
CENT,1,0,1
CENTA,1,0,1
CENX,0,1,0
CESDF,0,1,0
CEUAX,0,1,0
CEVA,0,1,0
CEXIX,0,1,0
CEYIX,0,1,0
CF,1,0,1
CFA,0,0,1
CFACX,0,1,0
CFAIX,0,1,0
CFFN,1,0,1
CFG,1,0,1
CFJAX,0,1,0
CFJIX,0,1,0
CFMCX,0,1,0
CFMSX,0,1,0
CFR,1,0,1
CFRUY,1,0,1
CFRZX,0,1,0
CFSIX,0,1,0
CFSLX,0,1,0
CFSSX,1,0,1
CFTAX,0,1,0
CFWIX,0,1,0
CG,1,0,1
CGBIX,0,1,0
CGBL,0,1,0
CGC,1,0,1
CGCP,0,1,0
CGDG,0,1,0
CGDV,0,1,0
CGEMY,1,0,1
CGFAX,0,1,0
CGFCX,0,1,0
CGGR,0,1,0
CGMS,0,1,0
CGMU,0,1,0
CGNT,1,0,1
CGNX,1,0,1
CGO,1,0,1
CGPCX,0,1,0
CGRWX,0,1,0
CGTRX,0,1,0
CGW,0,1,0
CGXU,0,1,0
CHA,1,0,0
CHCO,1,0,1
CHCT,0,1,0
CHCYX,0,1,0
CHD,1,0,1
CHDN,1,0,1
CHDVX,0,1,0
CHE,1,0,1
CHEF,1,0,1
CHEOY,1,0,1
CHGCY,1,0,1
CHGG,1,0,1
CHH,1,0,1
CHIQ,0,1,0
CHKP,1,0,1
CHKR,1,0,0
CHOC,0,1,0
CHPT,1,0,1
CHRD,1,0,1
CHRS,1,0,1
CHRW,1,0,1
CHTR,1,0,1
CHTRX,0,1,0
CHWY,1,0,1
CI,1,0,1
CIBR,1,0,1
CIBRX,0,1,0
CICAX,0,1,0
CICHY,1,0,1
CIEN,1,0,1
CIG,1,0,1
CIGEX,0,1,0
CIHEX,0,1,0
CIHKY,1,0,1
CIM,1,0,1
CIMCX,0,1,0
CINCX,0,1,0
CINF,1,0,1
CION,0,0,1
CIPMX,0,1,0
CIPNX,0,1,0
CISMX,0,1,0
CISS,0,0,1
CITI,0,1,0
CIUEX,0,1,0
CIVIX,0,1,0
CJNK,1,0,1
CJPRY,1,0,1
CJREF,1,0,1
CKHUY,0,1,0
CL,1,0,1
CLAR,0,0,1
CLB,1,0,1
CLBAX,0,1,0
CLBCX,0,1,0
CLC,1,0,1
CLCGY,0,1,0
CLDT,1,0,1
CLF,1,0,1
CLH,1,0,1
CLLNY,1,0,1
CLNE,1,0,1
CLOU,1,0,1
CLOV,0,1,0
CLPBY,1,0,1
CLRB,0,1,0
CLS,1,0,1
CLVT,1,0,1
CLW,1,0,1
CLX,1,0,1
CM,1,0,1
CMBS,1,0,1
CMBZX,0,1,0
CMC,1,0,1
CMCAX,0,1,0
CMCSA,1,0,1
CMCYX,0,1,0
CME,1,0,1
CMEUX,0,1,0
CMG,1,0,1
CMGIX,0,1,0
CMI,1,0,1
CMIUX,0,1,0
CMLIX,0,1,0
CMNIX,0,1,0
CMP,1,0,1
CMPGF,0,1,0
CMPGY,1,0,1
CMPIX,0,1,0
CMPR,1,0,1
CMPS,1,0,1
CMRE,1,0,1
CMS,1,0,1
CMSD,0,0,1
CMSQY,1,0,1
CMT,0,1,0
CMTG,1,0,1
CMTL,1,0,1
CMUAX,0,1,0
CMVYX,0,1,0
CMWAY,1,0,1
CNA,1,0,1
CNC,1,0,1
CNDT,1,0,1
CNF,1,0,1
CNG,0,0,1
CNH,1,0,1
CNI,1,0,1
CNIXX,0,1,0
CNK,1,0,1
CNL,0,1,0
CNM,1,0,1
CNMD,1,0,1
CNNE,1,0,1
CNO,1,0,1
CNP,1,0,1
CNPCX,0,1,0
CNQ,1,0,1
CNR,1,0,1
CNRAF,1,0,1
CNS,1,0,1
CNSWF,1,0,1
CNTY,1,0,1
CNVVY,1,0,0
CNWAX,0,1,0
CNX,0,1,0
CNXC,1,0,1
CNXN,1,0,1
CNYA,0,1,0
COCO,1,0,1
CODI,1,0,1
CODYY,1,0,1
COF,1,0,1
COGT,1,0,1
COHR,1,0,1
COHU,0,1,0
COIIX,0,1,0
COIN,1,0,1
COKE,1,0,1
COL,1,0,1
COLB,1,0,1
COLD,1,0,1
COLM,1,0,0
COMIX,0,1,0
COMT,0,1,0
CON,1,0,1
COO,1,0,1
COP,1,0,1
COR,1,0,1
CORP,1,0,1
CORT,1,0,0
COSIX,0,1,0
COST,1,0,1
COSVX,0,1,0
COSZX,0,1,0
COTV,1,0,1
COTY,1,0,1
COVTY,0,1,0
COWZ,0,1,1
CP,1,0,1
CPA,1,0,1
CPATX,0,1,0
CPAY,1,0,1
CPB,1,0,1
CPBYX,0,1,0
CPCTX,0,1,0
CPEFX,0,1,0
CPF,1,0,1
CPIRX,0,1,0
CPK,0,1,0
CPLA,0,1,0
CPLIX,0,1,0
CPN,1,0,1
CPNG,1,0,1
CPRI,1,0,1
CPRIX,0,1,0
CPRT,1,0,1
CPSH,0,0,1
CPT,1,0,1
CPXFX,0,1,0
CPXIX,0,1,0
CPXWF,1,0,1
CPYYY,1,0,1
CQP,1,0,1
CQQQ,0,1,0
CR,1,0,1
CRAI,1,0,1
CRANX,0,1,0
CRARY,1,0,1
CRAZX,0,1,0
CRBG,0,0,1
CRBN,0,1,0
CRC,1,0,1
CRCL,1,0,1
CRDO,1,0,1
CRDOX,0,1,0
CRGY,1,0,1
CRH,1,0,1
CRI,1,0,1
CRIMX,0,1,0
CRK,0,0,1
CRL,1,0,1
CRM,1,0,1
CRMMX,0,1,0
CRMT,1,0,1
CRNC,1,0,1
CRNX,1,0,1
CRON,1,0,1
CROX,1,0,1
CRPT,0,1,0
