bioguide,name,n_tk_nous,n_tk_quiver,inter,nous_seul,quiver_seul,quiver_seul_list
F000459,"Charles J. ""Chuck"" Fleischmann",34,18,2,32,16,"A,ATEST,BITF,DCBO,DSS,ERTS,ISHC,LASR,NDRE,OSLE,PSTR,SPOR,SPRI1,TROY,USNC,VSEC"
J000309,Jonathan Jackson,28,28,28,0,0,
M001218,Richard Dean Dr McCormick,36,36,36,0,0,
K000398,Thomas H. Kean,34,34,34,0,0,
L000601,Greg Landsman,38,38,38,0,0,
C001108,James Comer,25,24,24,1,0,
W000829,Tony Wied,25,12,11,14,1,SQ
F000450,Virginia Foxx,15,17,15,0,2,"EFC$D,T$A"
W000830,George Whitesides,34,34,34,0,0,
H001082,Kevin Hern,17,17,17,0,0,
A000372,Richard W. Allen,9,13,9,0,4,"912797KJ5,91282CJP7,91282CJS1,91282CLG4"
E000296,Dwight Evans,20,20,20,0,0,
G000603,Brandon Gill,2,2,2,0,0,
K000375,William R. Keating,11,11,11,0,0,
M001222,Max Miller,1,4,1,0,3,"GLA,GLAS FUNDS,GLAS FUNDS, LP"
K000376,Mike Kelly,2,2,2,0,0,
L000590,Susie Lee,10,10,10,0,0,
S000510,Adam Smith,18,7,7,11,0,
D000399,Lloyd Doggett,6,6,6,0,0,
S001189,Austin Scott,9,9,9,0,0,
L000560,Rick Larsen,16,16,16,0,0,
H001072,James French Hill,14,14,14,0,0,
G000590,Mark Dr Green,1,1,1,0,0,
M001205,Carol Devine Miller,14,14,14,0,0,
S001201,Thomas Suozzi,5,5,5,0,0,
D000624,Debbie Dingell,7,7,7,0,0,
P000197,Nancy Pelosi,8,8,8,0,0,
R000612,John W. Rose,5,11,5,0,6,"SYMBOL,SYMBOL: AEPGX,SYMBOL: AGTHX,SYMBOL: AIVSX,SYMBOL: CWGIX,SYMBOL: OGVXX"
W000797,Debbie Wasserman Schultz,9,9,9,0,0,
M001204,Daniel Meuser,9,9,9,0,0,
R000621,Emily Randall,11,11,11,0,0,
C001068,Steve Cohen,2,2,2,0,0,
C001101,Katherine M. Clark,1,1,1,0,0,
L000597,Laurel Lee,4,3,3,1,0,
P000048,August Lee Pfluger,4,4,4,0,0,
R000610,Guy Mr Reschenthaler,2,3,2,0,1,BITCOIN
C001078,Gerald E. Connolly,3,3,3,0,0,
L000566,Robert E. Latta,1,1,1,0,0,
M001239,John McGuire,4,4,4,0,0,
S000250,Pete Sessions,2,2,2,0,0,
A000148,Jake Auchincloss,1,1,1,0,0,
Y000067,Rudy C. Yakym,0,1,0,0,1,"3_MONTH, MATURE"
F000483,Laura Friedman,2,2,2,0,0,
K000405,Brad Knott,2,2,2,0,0,
B000668,Cliff Bentz,2,2,2,0,0,
C001080,Judy Chu,1,1,1,0,0,
D000616,Scott DesJarlais,2,2,2,0,0,
M001241,Dave Min,2,2,2,0,0,
S000929,Victoria Spartz,1,1,1,0,0,
S001185,Terri A. Sewell,2,2,2,0,0,
S001214,Greg Steube,1,2,1,0,1,37045XEF9
A000055,Robert B. Aderholt,1,1,1,0,0,
C001055,Ed Case,1,1,1,0,0,
G000591,Michael Patrick Guest,1,1,1,0,0,
G000597,Andrew Garbarino,1,1,1,0,0,
G000599,Daniel Goldman,1,1,1,0,0,
K000403,Mike Kennedy,1,1,1,0,0,
N000188,Donald W. Norcross,1,1,1,0,0,
S001207,Mikie Sherrill,1,1,1,0,0,
S001212,Peter Allen Stauber,1,1,1,0,0,
T000488,Shri Thanedar,1,1,1,0,0,
