bioguide,name,n_tk_nous,n_tk_quiver,inter,nous_seul,quiver_seul,quiver_seul_list
H000636,Rubén Hinojosa,24,33,24,0,9,"ASHR,BIDU,BUNT,REX,RSCO,SI,SPHQ,USMV,VXF"
M001180,David B. McKinley,37,43,37,0,6,"APA,CTSH,ESRX,EXPD,UNH,UNT"
S000250,Pete Sessions,39,42,39,0,3,"BHP,GOOG,NSRGY"
F000462,Lois Frankel,26,63,26,0,37,"ABT,AGNC,ALB,BW,CB,CCK,COH,CPGX,CTRX,CVS,CXW,DEO,DGX,DHR,DISCK,DLPH,ESL,ESRX,ETN,FIS,HCN,ITC,ITYBY,LMCK,LMT,MCD,ORCL,OXY,PAY,PNC,SRE,STJ,TE,TWX,UPL,VZ,XOM"
S001148,Michael K. Simpson,19,26,18,1,8,"AKCPF,FBT,FDN,FTA,FXD,FXG,FXH,RDVY"
C001107,Carlos Curbelo,19,24,18,1,6,"EWW,FXC,HACK,MMP,XLE,XLK"
B001260,Vern Buchanan,0,1,0,0,1,CTFS PARTN
W000804,Robert J. Wittman,33,37,33,0,4,"ACN,FIS,MMC,UNH"
F000450,Virginia Foxx,23,36,23,0,13,"ADM,CAT,CBRL,ERIE,F,FDX,FTR,MO,ONEQ,SCHE,SCHF,SCHP,VOT"
F000461,Bill Flores,12,19,12,0,7,"ABBV,COP,IBM,OKE,SEMG,TRGP,WMB"
G000551,Raúl M. Grijalva,22,37,20,2,17,"AMGN,BTO,CGO,DLPH,DOOR,GD,GLW,HR,INTC,JDD,MBLY,MCHP,MYL,PETM,QCOM,SYK,UTX"
D000624,Debbie Dingell,13,14,10,3,4,"FEI,IBM,NGLS,OAK"
W000413,Ed Whitfield,14,24,14,0,10,"AMAT,COF,CSCO,DEA,LBTYA,LH,MSG,PETM,TMK,USB$N"
S001190,Bradley S. Schneider,11,5,3,8,2,"GOOG,TDA"
R000589,E. Scott Rigell,6,8,6,0,2,"FAN,MRK"
N000182,Randy Neugebauer,6,7,6,0,1,ZMLP
B000589,John A. Boehner,14,16,14,0,2,"NYSE: COV,UNH"
W000797,Debbie Wasserman Schultz,3,3,3,0,0,
A000373,Brad Ashford,9,9,9,0,0,
P000523,David E. Price,13,9,8,5,1,SDY
B001269,Lou Barletta,9,12,9,0,3,"DIA,RDIV,TDIV"
C000266,Steve Chabot,14,15,14,0,1,REGN
Y000062,John A. Yarmuth,10,21,10,0,11,"ACN,AFAM,AIG,BRK_A,JNJ,MMM,MYL,ORCL,SNDK,USB$N,V"
G000563,Bob Gibbs,12,13,12,0,1,BUD
D000399,Lloyd Doggett,3,3,3,0,0,
C001068,Steve Cohen,4,4,4,0,0,
D000598,Susan A. Davis,7,8,7,0,1,CHKP
F000451,Michael G. Fitzpatrick,9,9,9,0,0,
M000404,Jim McDermott,4,5,4,0,1,FTBXL
P000197,Nancy Pelosi,2,3,2,0,1,V
B000574,Earl Blumenauer,1,1,1,0,0,
B001274,Mo Brooks,2,3,2,0,1,DRAD
C001066,Kathy Castor,5,3,2,3,1,ETFC
S000185,"Robert C. ""Bobby"" Scott",5,5,5,0,0,
C001103,Earl Leroy Carter,1,4,1,0,3,"DUE 04/01/27,DUE 07/01/27,DUE 12/01/27"
R000011,Nick J. Rahall,2,3,2,0,1,LINE
C001078,Gerald E. Connolly,1,1,1,0,0,
G000535,Luis V. Gutierrez,1,1,1,0,0,
M001182,Mick Mulvaney,3,7,3,0,4,"IHE,IHI,KGC,PAAS"
W000809,Steve Womack,0,1,0,0,1,FOR
H001065,George Holding,0,2,0,0,2,"FCNCA,FCNCB"
S000480,Louise McIntosh Slaughter,1,1,1,0,0,
L000559,James R. Langevin,1,1,1,0,0,
R000599,Raul Ruiz,2,2,2,0,0,
Y000063,Kevin Yoder,2,3,2,0,1,KMI
C000754,Jim Cooper,1,2,1,0,1,HOSPIC
C001105,Barbara J. Comstock,1,1,1,0,0,
L000397,Zoe Lofgren,1,1,1,0,0,
S001156,Linda T. Sanchez,1,1,0,1,1,RTNB
